,name,Max диаметр сверления (металл),Max диаметр шурупа,Max крутящий момент ,Max размер крепежа,amount_of_reviews,description,Вес нетто,Длина кабеля,Зарядное устройство в комплекте,Количество аккумуляторов в комплекте,Мах диаметр сверления (бетон),Мах диаметр сверления (дерево),Мах диаметр сверления (кирпич),Мощность,Напряжение аккумулятора,Посадочный квадрат,Регулировка глубины завинчивания,Регулировка частоты вращения,Серия аккумулятора,Тип аккумулятора,Тип двигателя,Тип патрона,Упаковка,Частота вращения шпинделя
115,Аккумуляторная дрель-шуруповерт Вихрь ДА-18Л-2К/Б 72/14/22,12 мм,,45 Нм,,63,Бесщеточный двигатель отличается надежностью и высокой производительностью,1.3 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
116,Аккумуляторная ударная дрель-шуруповерт Интерскол ДАУ-13/18ВК 573.1.2.70,13 мм,,45 Нм,,29,,1.6 кг,,есть,,13 мм,36 мм,,,18 В,,,,,Li-Ion,,,,
117,Аккумуляторная дрель-шуруповерт PATRIOT BR 111ES 180201411,6 мм,,25 Нм,,75,,0.95 кг,,есть,,,16 мм,,,12 В,,,,,Li-Ion,,,,
118,Аккумуляторная дрель-шуруповерт AEG BS 12C2 LI-202B 4935448465,10 мм,,34 Нм,,74,Высокая точность работ тонкими сверлами,1 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
119,Сетевая дрель-шуруповерт Ресанта СШ-550-2 75/16/1,10 мм,10 мм,36 Нм,,87,Легкий доступ к щеткам – для самостоятельной их замены,1.3 кг,1.5 м,,,,25 мм,,550 Вт,,,нет,,,,,,,0-450/0-1500 об/мин
120,Аккумуляторная дрель-шуруповерт Победа ДА-12П/1 Ли 180201626,6 мм,,22 Нм,,8,,2 кг,,есть,,,16 мм,,,12 В,,,,,Li-Ion,,,,
121,Аккумуляторный дрель-шуруповерт DAEWOO DAA 1210 Li DAA 1210Li,8 мм,,28 Нм,,114,,1.3 кг,,есть,,,22 мм,,,12 В,,,,,Li-Ion,,,,
122,"Дрель-шуруповерт ЗУБР 12В, 1 АКБ 2Ач, в коробке ДШЛ-125-21",10 мм,,25 Нм,,26,,0.87 кг,,есть,,,21 мм,,,12 В,,,,,Li-Ion,,,,
123,Безударная дрель PATRIOT FS 300 120301400,10 мм,,35 Нм,,104,,1.2 кг,2 м,,,,20 мм,,300 Вт,,,нет,,,,,,,0-400/0-1390 об/мин
124,Аккумуляторный шуруповерт Sturm CD3514BL,10 мм,,38 Нм,,14,,2.364 кг,,есть,,,22 мм,,,14 В,,,,,Li-Ion,,,,
125,"Аккумуляторная дрель Sturm 20 В, 1BatterySystem, 2 акк., 2,0 Ач, кейс CD3620",,,31 Нм,,12,,2.82 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
126,Электрическая дрель OASIS DS-40 4640039482444,10 мм,,20 Нм,,23,,1.1 кг,2 м,,,,25 мм,,400 Вт,,,нет,,,,,,,0-800 об/мин
127,Аккумуляторная дрель-шуруповерт Вихрь ДА-24Л-2к 72/14/18,12 мм,,40 Нм,,88,2 аккумулятора – для непрерывной работы без простоев,1.35 кг,,есть,,,30 мм,,,24 В,,,,,Li-Ion,,,,
128,"Дрель-шуруповерт Makita аккумулятор G-серия 18 В, 13 мм, 42/24 Нм (2x1,5Ач, з/у) DF488D002",13 мм,,42 Нм,,9,,1.7 кг,,есть,,,36 мм,,,18 В,,,,,Li-Ion,,,,
129,Аккумуляторная дрель-шуруповерт DAEWOO DAA 2120 Li DAA 2120Li,12 мм,,38 Нм,,70,,2.4 кг,,есть,,,32 мм,,,21 В,,,,,Li-Ion,,,,
130,"Аккумуляторная дрель Einhell pxc te-cd 18/50 li bl, 18в, 50нм, патрон 13мм, 2x2,0 ач, кейс 4513896",,,50 Нм,,10,,3.63 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
131,Аккумуляторная дрель-шуруповерт GRAPHITE 58G215,,,21 Нм,,1,,2.4 кг,,есть,,,,,,14.4 В,,,,,Li-Ion,,,,
132,"Аккумуляторная дрель-шуруповерт Вихрь ДА-14,4Л-2К 72/14/8",10 мм,,30 Нм,,138,Электронная защита от перегрузок снижает риск поломки инструмента,1.25 кг,,есть,,,25 мм,,,14.4 В,,,,,Li-Ion,,,,
133,Щеточный ударный шуруповерт KINGQUEEN 18В KQ-101k,,,25 Нм,,195,,,,есть,,,,,,18 В,,,,,Li-Ion,,,,
134,Аккумуляторный шуруповерт Hanskonner 1BatterySystem HCD20165PRO,13 мм,,165 Нм,,1,,1.95 кг,,есть,,13 мм,40 мм,,,18 В,,,,,Li-Ion,,,,
135,Аккумуляторная дрель-шуруповерт Eurolux ДА-18/2Li 72/14/40,12 мм,,35 Нм,,12,Подсветка для работы в местах со слабым освещением,1.3 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
136,Ударная дрель-шуруповерт AEG BSB18C2-0 4935472010,13 мм,,50 Нм,,19,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.7 кг,,нет,,,40 мм,13 мм,,18 В,,,,,Li-Ion,,,,
137,Аккумуляторная дрель-шуруповерт WORTEX BD 2025-1 DLi BD20251DLi1029,13 мм,,50 Нм,,33,,1.2 кг,,есть,,,35 мм,,,18 В,,,,,Li-Ion,,,,
138,Бесщеточный аккумуляторный импульсный винтоверт AEG BSS18B6-0 4935472013,,,280 Нм,,84,"6 режимов работы, в том числе Auto Stop и режим закручивания для саморезов",1.7 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
139,"Шуруповерт аккумуляторный ударный бесщеточный Makita18В, 1x5Ач, Li-ion, 0-3400 об\м, 6-ти гр, 1\4"", 1.3кг, кейс, 170Нм, М5-М16 DTD153RT",,,170 Нм,,3,Единая АКБ на 18 В для множества инструментов Makita платформы LXT,1.3 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
140,Аккумуляторная бесщеточная ударная дрель-шуруповерт MABAR со светодиодной подсветкой рабочей зоны 5502-2.0,,,55 Нм,,2,,1.7 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
141,Аккумуляторная дрель-шуруповерт Eurolux ДА-12/1Li 72/14/37,10 мм,,25 Нм,,20,"Для работы с оснасткой диаметром от 0,8 до 10 мм",1.3 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
142,"Бесщеточный винтоверт ЗУБР Профессионал 20 В, 2 АКБ, 2 Ач, в кейсе GVB-250-22",,,280 Нм,,37,,1.5 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
143,"Аккумуляторная дрель Tesla TCD14BL 14.4 В, 2x2.0 Ач, LiION, 10 мм, 0-400/0-1500 об/мин, 48 Нм, 1 ч, кейс 840368",10 мм,,48 Нм,,9,,1.9 кг,,есть,,,28 мм,,,14.4 В,,,,,Li-Ion,,,,
144,"Аккумуляторная дрель-шуруповерт Greenworks 24V, 90 Нм, бесщеточная, без АКБ и ЗУ 3707507",,,90 Нм,,8,,1.54 кг,,нет,,,,,,24 В,,,,,Li-Ion,,,,
145,Аккумуляторная дрель-шуруповерт TOUA 18 В DBLID180-1,13 мм,,60 Нм,,13,Двигатель и аккумулятор защищены от перегрева – это повышает их ресурс,1.95 кг,,есть,,12 мм,40 мм,12 мм,,18 В,,,,,Li-Ion,,,,
146,"Аккумуляторная дрель-шуруповерт Вихрь ДА-18Л-2КC, 2.0 А/ч 72/14/34",12 мм,,45 Нм,,5,2 аккумулятора в комплекте – долгая работа без перерывов на подзарядку,2.42 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
147,"Бесщеточный винтоверт ЗУБР Профессионал 20В, 2 АКБ 4Ач, в кейсе GVB-250-42",,,280 Нм,,40,,1.7 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
148,Аккумуляторная дрель-шуруповерт PATRIOT BR 101ES 180201301,10 мм,,25 Нм,,20,,,,есть,,,,,,12 В,,,,,Li-Ion,,,,
149,Бесщеточная дрель-шуруповерт DEWALT XRP DCD991P2,15 мм,,95 Нм,,88,Самый мощный шуруповерт DEWALT с бесщеточным двигателем Brushless,2.08 кг,,есть,,,55 мм,,,18 В,,,,,Li-Ion,,,,
150,Аккумуляторная дрель-шуруповерт Patriot BR104Li 180201412,6 мм,,20 Нм,,64,,1.01 кг,,есть,,,16 мм,,,12 В,,,,,Li-Ion,,,,
151,"Аккумуляторный винтоверт TOUA DBLSD180 18 v, 1АКБ+ЗУ DBLSD180-1",13 мм,,180 Нм,,22,Тангенциальный ударный механизм для работы с шурупами-глухарями,1.69 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
152,Сетевая дрель-шуруповерт ЗУБР 400 Вт ДШ-М1-400,10 мм,6 мм,28 Нм,,83,,1.26 кг,2 м,,,,20 мм,,400 Вт,,,нет,,,,,,,0-750 об/мин
153,Компактная дрель-шуруповерт DEWALT 12 В XR DCD701D2-QW,10 мм,,57.5 Нм,,667,Эргономичная сбалансированная конструкция и скоба для ремня,3 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
154,Аккумуляторная дрель-шуруповерт Elitech ДА 12БЛ2 4 А*ч 191606,10 мм,,35 Нм,,4,,1.4 кг,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
155,Ударная аккумуляторная дрель-шуруповерт DAEWOO DAA 2161Li,13 мм,,140 Нм,,6,,2.3 кг,,есть,,16 мм,65 мм,,,21 В,,,,,Li-Ion,,,,
156,Дрель-шуруповерт Ryobi 18В RDD18-1C20S 5133005519,13 мм,,52 Нм,,9,,1.1 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
157,Сетевой шуруповерт ЗУБР Профессионал 550 Вт ЗСШ-550-45,,6 мм,10 Нм,,17,,1.9 кг,3 м,,,,,,550 Вт,,,есть,,,,,,,0-4500 об/мин
158,Аккумуляторная дрель Hammer промо 12в 1x1.5ач liion 10мм 0-350/0-1350об/мин 26 нм ACD12C 824158,8 мм,,26 Нм,,299,,1 кг,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
159,"Дрель-шуруповерт ЗУБР Профессионал 12 В, 2 АКБ, в сумке DL-121-42",10 мм,,,,6,,1 кг,,есть,,,22 мм,,,12 В,,,,,Li-Ion,,,,
160,Аккумуляторная дрель EDON AD-18BL набор 24893,,,60 Нм,,2,,0.9 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
161,Дрель-шуруповерт Ryobi 18В RDD18-2C42S 5133005521,13 мм,,52 Нм,,9,,1.1 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
162,"Дрель аккумуляторная Einhell PXC TP-CD 18/60 Li BL, 18В, 60Нм, патрон 13 мм, без АКК и ЗУ 4514210",,,60 Нм,,4,Аккумулятор и зарядное устройство не входит в комплект поставки.,,,нет,,,,,,18 В,,,,,Li-Ion,,,,
163,Бесщеточная ударная дрель-шуруповерт AEG BSB18SBL2-0 18В 4935480057,13 мм,,65 Нм,,9,,1 кг,,нет,,13 мм,40 мм,13 мм,,18 В,,,,,Li-Ion,,,,
164,Аккумуляторная ударная дрель-шуруповерт DELI DL-CZ20-E1D2 102883,10 мм,,29 Нм,,27,,,,есть,,6 мм,20 мм,10 мм,,20 В,,,,,Li-Ion,,,,
165,Аккумуляторный шуруповерт для гипсокартона FLEX DW 45 18.0-EC M/2.5 Set 466824,,,,,,Max крутящий момент : 28 Нм,1.89 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
166,"Аккумуляторная дрель-шуруповерт Вихрь ДА-16Л-2КА с набором оснастки, 65 предметов 72/14/49",10 мм,,32 Нм,,6,,1.3 кг,,есть,,,25 мм,,,16 В,,,,,Li-Ion,,,,
167,Аккумуляторная дрель-шуруповерт DEWALT DCD 791 D2,13 мм,,70 Нм,,486,Надежный бесщеточный двигатель для длительной работы без перегрева,1.1 кг,,есть,,,40 мм,,,18 В,,,,,Li-Ion,,,,
168,Ударный шуруповерт Makita LXT без аккумулятора и ЗУ DTD156Z,,,155 Нм,,41,Поставляется без аккумулятора и зарядного устройства — вы не переплачиваете,1.3 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
169,Бесщеточная аккумуляторная дрель STATUS UniOne CBL24Li 07126501,,,130 Нм,,3,,2.7 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
170,Аккумуляторная дрель Elitech Домашний мастер ДА 202сл 202415,13 мм,,30 Нм,,11,,1.2 кг,,есть,,,32 мм,,,20 В,,,,,Li-Ion,,,,
171,"Аккумуляторная дрель-шуруповерт Rokodil Twist 2 Pro, 18В, 48Нм, 2Ач, 1045101",13 мм,,48 Нм,,106,,1.2 кг,,есть,,,36 мм,,,18 В,,,,,Li-Ion,,,,
172,Аккумуляторная дрель-шуруповёрт FAVOURITE DC 18MF,10 мм,,30 Нм,,18,,2.35 кг,,есть,,,22 мм,,,18 В,,,,,Li-Ion,,,,
173,Ударный аккумуляторный винтоверт Greenworks GD24ID3 3802807,,,300 Нм,,7,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.18 кг,,нет,,,,,,24 В,,,,,Li-Ion,,,,
174,Аккумуляторный бесщеточный ударный винтоверт со светодиодной подсветкой MABAR 1801-2.0,13 мм,,,,,Max крутящий момент : 180 Нм,1.3 кг,,есть,,,13 мм,,,16 В,,,,,Li-Ion,,,,
175,Аккумуляторная дрель-шуруповерт BULL SR 1802 04040329,13 мм,,80 Нм,,26,,2.16 кг,,есть,,,80 мм,,,18 В,,,,,Li-Ion,,,,
176,Аккумуляторная дрель-шуруповерт ДИОЛД ДЭА-16Л-08 10022155,10 мм,,38 Нм,,5,,2.62 кг,,есть,,,25 мм,,,16 В,,,,,Li-Ion,,,,
177,Аккумуляторный ударный шуруповерт Makita CXT ® TD110DZ,,,110 Нм,,162,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.2 кг,,нет,,,,,,12 В,,,,,Li-Ion,,,,
178,Дрель-шуруповерт Ryobi 18В RDD18-2C20S 5133005520,13 мм,,52 Нм,,9,,1.1 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
179,Аккумуляторная дрель-шуруповерт Bosch Easydrill 18V-40 06039D8002,13 мм,,40 Нм,,4,,1.3 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
180,Бесщёточный импульсный шуруповерт Dewalt 18 В XR DCF850N-XJ,,,206.2 Нм,,223,Поставляется без аккумулятора и зарядного устройства — вы не переплачиваете,0.95 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
181,Аккумуляторная бесщеточная дрель-шуруповерт MABAR со светодиодной подсветкой рабочей зоны 8013-4.0,,,80 Нм,,5,,3.2 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
